id,title,singer
100884,Buồn Trong Kỷ Niệm,Hồ Hoàng Yến
100886,Buồn Trong Kỷ Niệm,Trường Vũ
100889,Buồn Trong Đêm Mưa,Ngọc Thúy
100891,Buồn Tàn Thu,Lê Thủy
100895,Buồn Tả Tơi,Ngô Quốc Linh & Quách Sỹ Phú
100897,Buồn Vào Đêm,Hương Lan
100899,Buồn Vào Đêm,Tuấn Vũ
100900,Buôn Bấc Buôn Dầu,Đức Hiền
100901,Buông,Bùi Anh Tuấn
100902,Buồn Vương Màu Áo,Lưu Hồng
100907,Buồn Ơi Chào Mi,Đinh Ngọc
100909,Buồn Ơi Ngủ Yên,Tuấn Khanh
100910,Buồn Ơi Ta Xin Chào Mi,Thái Châu
100911,Buồn Ơi Xin Cho Quên,Nguyễn Hưng & Ái Vân
100921,Bà Rằng Bà Rí,Phi Nhung
100922,Bà Rằng Bà Rí,Thanh Lan
100927,Bà Xã Ơi Bà Xã,Hải Nguyên
100929,Bà Ơi,Đào Phi Dương
100930,Bài 20,Johnny Dũng & Lâm Nhật Tiến
100932,Bài Ca Cho Anh,Sơn Tuyền
100933,Bài Ca Cho Em,Thái Hiền
100934,Bài Ca Cho Em,Thái Hiền
100935,Bài Ca Chúng Mình,Tuấn Vũ
100936,Bài Ca Của Chúng Mình,Thúy Hằng
100937,Bài Ca Của Đêm,Lâm Nhật Tiến
100941,Bài Ca Dao Xót Xa,Vũ Tuấn
100942,Bài Ca Dao Đầu Đời,Mạnh Quỳnh
100943,Bài Ca Dao Đầu Đời,Tâm Đoan
100945,Bài Ca Hai Chúng Mình,Khánh Hoàng
100946,Bài Ca Hy Vọng,Thu Hương
100947,Bài Ca Hạnh Ngộ,Lệ Uyên Phương & U Mi
100949,Bài Ca Hạnh Phúc,Thế Phong
100951,Bài Ca Hồ Chí Minh,Hồ Quỳnh Hương
100952,Bài Ca Hồ Chí Minh,Quang Hào
100957,Bài Ca Kỷ Niệm,Phi Nhung
100960,Bài Ca Kỷ Niệm,Tuấn Vũ
100961,Bài Ca Lửa Cháy,Tốp Ca
100962,Bài Ca May Áo,Trung Hậu
100963,Bài Ca Miyahee,Đan Trường
100965,Bài Ca Người Giáo Viên Nhân Dân,Lan Anh
100967,Buông,Kimmese & Vũ Thảo My
100968,Buồn (Remix),Vũ Duy Khánh
100969,Buồn Của Anh (Remix),Khang Lê
100975,Bài 20,Khải Tuấn
100978,Bài Ca Thông Nhất,Bích Hồng & Thu Hiền
100979,Bài Ca Thông Nhất,Phạm Phương Thảo
100980,Bài Ca Thông Nhất,Trọng Tấn
100985,Bài Ca Tuổi Trẻ,Elvis Phương
100986,Bài Ca Tân Hôn,Lê Toàn
100987,Bài Ca Tình Nhớ,Thu Thảo
100990,Bài Ca Tết Cho Em (Remix),Lương Gia Huy
100991,Bài Ca Tết Cho Em (Remix),Quang Hà
100993,Bài Ca Xuân,Khánh Hoàng
100996,Bài Ca Đường 9 Chiến Thắng,Tốp Ca
100999,Bài Cuối Cho Cuộc Tình,Đàm Vĩnh Hưng
101001,Bài Cuối Cho Người Tình,Mạnh Quỳnh
101003,Bài Hát Cho Người Kỹ Nữ,Khang Vệt
101008,Bài Hát Không Trọn Vẹn,Châu Ngọc Tiên & Lâm Chấn Khang
101011,Bài Hát Tặng Em,Rainbow Boys
101013,Bài Hát Tặng Mẹ (Mama Angel),C Walk & Lil Shady
101014,Bài Hát Đôi Cho Em,Huy Mc & Thu Phương
101015,Bài Hát Đôi Cho Em,Quang Minh & Thu Phương
101017,Bài Học,Phạm Trưởng
101020,Bài Học Tình Yêu,Phúc Pin
101025,Bài Không Tên Số 1,Duy Quang
101028,Bài Không Tên Số 2,Hạ Vy & Nini
101029,Bài Không Tên Số 2,Ngọc Bích
101032,Bài Không Tên Số 37,Khánh Hà
101033,Bài Không Tên Số 4,Ngọc Lan
101035,Bài Không Tên Số 5,Elvis Phương
101036,Bài Không Tên Số 5,Ngọc Bích
101037,Bài Không Tên Số 6,Duy Quang
101039,Bài Không Tên Số 7,Khánh Hà
101040,Bài Không Tên Số 8,Nguyễn Khang
101043,Bài Không Tên Số 9,Châu Đình An
101044,Bài Không Tên Số 9,Khánh Nguyên
101046,Bài Không Tên Số Bảy,Lệ Quyên
101047,Bài Không Tên Số Bốn,Lệ Quyên
101048,Bài Không Tên Số Chín,Lệ Quyên
101049,Bài Không Tên Số Năm,Lệ Quyên
101050,Bài Không Tên Số Sáu,Lệ Quyên
101051,Bài Luân Vũ Mùa Mưa,Elvis Phương & Thanh Lan
101052,Bài Ngợi Ca Quê Hương,Mạnh Hùng
101053,Bài Ngợi Ca Quê Hương,Phi Nhung
101056,Bài Nhã Ca Thứ Nhất,Phương Nghi
101057,Bài Nhạc Cuối Cho Chúng Mình,Khánh Ngọc & Nhật Tinh Anh
101063,Bài Tango Dĩ Vãng,Christiane Lê
101065,Bài Tango Xa Rồi,Hồ Vĩnh Khoa & Thu Thủy & Tim
101068,Bài Thánh Ca Buồn,Khang Lê
101070,Bài Thánh Ca Buồn,Đàm Vĩnh Hưng & Mỹ Tâm
101072,Bài Thơ Cuối Cùng,Họa Mi
101077,Bài Thơ Vu Quy,Ngọc Hồ
101078,Bài Thơ Đan Áo,Diệp Thanh Thanh
101081,Bài Tình Ca Cho Em,Duy Quang
101082,Bài Tình Ca Cho Em,Lâm Thúy Vân
101084,Bài Tình Ca Cho Giai Nhân,Quang Dũng
101085,Bài Tình Ca Cho Giai Nhân,Vũ Khanh
101088,Bài Tình Ca Của Em,Don Hồ
101090,Bài Tình Ca Không Quên,Minh Tuyết
101091,Bài Tình Ca Không Quên,Ngọc Bích
101092,Bài Tình Ca Mùa Đông,Lệ Thu & Dạ Nhất Yến
101094,Bài Tình Cho Giai Nhân,Vũ Khanh
101095,Bài Tình Mơ,Nhiều Ca Sỹ
101097,Bàn Tay,Lê Hằng
101099,Bác,Quách Thành Danh
101100,"Bác Hồ, Một Tình Yêu Bao La",Phạm Thùy Linh
101101,Bác Đang Cùng Chúng Cháu Hành Quân,Quân Khu 7
101104,Bánh Xe Lãng Tử,Christiane Lê
101110,Bâng Khuâng Chiều Đông,Thái Châu
101111,Bâng Khuâng Trường Sa,Go On
101113,Bây Giờ Còn Nhớ Hay Không,Diễm Liên & Nguyên Khang
101114,Bây Giờ Còn Yêu,Thanh Hà
101116,Bây Giờ Em Nỗi Đau,Johnny Dũng
101118,Bây Giờ Tháng Mấy,Thanh Thúy & Tô Chấn Phong
101119,Bây Giờ Tháng Mấy,Tuấn Anh
101120,Bây Giờ Tháng Mấy,Đức Huy
101121,Bãi Cát Thơ Mộng,Lê Toàn
101123,Bão Lòng,Khánh Ngọc
101124,Bài Ca Người Thợ Bảy Bằng,Huy Đạt
101126,Bài Hát Cho Em,Giao Linh
101127,Bài Hát Valentine Cho Em,Mai Thanh Sơn
101128,Bài Không Tên Số 1,Hoàng Nam
101129,Bài Không Tên Số 7,Hoàng Nam
101130,Bài Không Tên Số Tám,Lệ Quyên
101134,Bác Hồ Sống Mãi Với Tây Nguyên,Trung Đức
101135,Bão Tình,Hồ Hoàng Yến
101138,Bèo,Đào Phi Dương
101139,Bèo Dạt Mây Trôi (Remix),Thu Phương
101143,Bé Chơi Bập Bênh,Bé Bảo An
101149,Bé Yêu,Khánh Dung & Sơn Ca
101150,Bé Yêu,Mạnh Quỳnh
101152,Bé Yêu,Đoàn Phi & Hà Thanh Xuân
101157,Bê Rồi Ông Cố Ơi,Huỳnh James Pjnboys
101160,Bên Anh,Hoàng Rapper & Khởi My
101165,Bên Bóng Dừa,Lê Toàn & Thu Hương
101167,Bên Bờ Quạnh Hiu,Ngọc Bích
101168,Bên Cầu Biên Giới,Kathy Dung
101169,Bên Cầu Ngó Mong,Anh Vũ
101171,Bên Cầu Ngó Mong,Tuấn Dũng
101172,Bên Cầu Nhớ Người,Ngọc Hồ
101174,Bên Em Chiều Mưa,Đan Huy
101177,Bên Em Là Anh,Nguyên Hà
101180,Bên Em Là Biển Rộng,Ánh Minh & Don Hồ
101186,Bong Bóng Mưa,Trịnh Nam Sơn
101188,Bên Kia Sông,Đức Duy
101192,Bên Người Này Nhớ Người Kia,Bom Band
101194,Bên Nhau Lần Nữa,Nhật Minh Hằng
101195,Bên Nhau Ngày Vui,Thái Tài & Linda Trang Đài
101198,Bên Nhau Thật Khó New Version,Châu Khải Phong & Khang Việt
101200,Bên Nhau Đêm Nay,Linda Trang Đài
101201,Bên Ni Bên Nớ,Họa Mi
101204,Bên Đời Hiu Quạnh,Họa Mi
101205,Bên Đời Hiu Quạnh,Tú Quyên
101207,Bên Đời Mất Em,Kim Quang Hải
101214,Bình Minh Sẽ Mang Em Đi (Remix),Đàm Vĩnh Hưng
101216,Bình Minh Sẽ Đến (Remix),Như Ý
101217,Bình Minh Trắng,Nguyễn Trung
101218,Bình Minh Tình Yêu (Remix),Huy Vũ & Minh Tuyết
101225,Bình Yên,Hồng Nhung & Quang Dũng
101228,Bình Yên Những Phút Giây,Sơn Tùng MTP
101229,Bình Yên Nơi Anh,Team V & Nhật Nguyên
101231,Bình Yên Sẽ Đến (Remix),Như Ý
101232,Bình Yên Sẽ Đến,Jimmy Nguyễn & Khánh Loan
101237,Bí Mật,Mỹ Tâm
101246,Bóng Chiều Xưa,Kim Huyền & Ngọc Huệ
101249,Bóng Dáng Mùa Xuân,Đan Huy
101250,Bóng Dáng Người Yêu,Lâm Gia Minh
101258,Bóng Mấy Đời Tôi,Lam Anh
101259,Bóng Người Cùng Thôn,Mỹ Lệ
101260,Bóng Người Cùng Thôn,Trang Thanh Lan & Quang Bình
101261,Bóng Người Trong Mưa (Remix),Cát Tiên
101263,Bóng Núi Bên Sông,Anh Thơ
101264,Bóng Núi Trên Sông,Anh Thơ
101265,Bóng Nắng,Phương Hồng Quế
101266,Bóng Trăng Dần Trôi,Duy Mạnh
101268,Bóng Trăng Đang Dần Trôi (Remix),Duy Mạnh
101269,Bóng Tình,Việt Tú
101270,Bóng Tối,Nguyễn Hồng Nhung
101271,Bóng Tối Cô Đơn,Trịnh Lam
101273,Bóng Tối Ly Cafe,Xuân Phú
101276,Bông Bí Vàng,Phi Nhung
101280,Bông Hồng Cài Áo,Nguyễn Hưng
101284,Bông Hồng Trắng,Huỳnh Thật
101285,Bông Hồng Trắng,Trường Vũ
101290,Bông Tuyết Vô Hồn,Chí Nhân
101291,Bông Vạn Thọ,Quang Linh
101297,Bún Riêu Cua Đồng,Châu Minh
101300,Búp Bê Chao Mi Ao 2,Vũ Hà
101304,Bên Dòng Sông Cái,Minh Thư
101305,Bên Gối Mộng,Hồng Trúc
101306,Bên Nhau Đêm Nay (Dancing All Night) Samba,Nguyễn Cao Kỳ Duyên
101307,Bình Minh Sẽ Mang Anh Đi,Diễm Liên
101310,Bóng Dáng Mẹ Hiền,Nhật Thanh
101311,Bóng Người Trong Mưa,Cát Tiên
101320,Bước Chân Chia Xa,Hoàng Hải Đăng
101323,Bước Chân Kỷ Niệm,Hoàng Lan
101324,Bước Chân Lầm Lỡ,Châu Gia Kiệt
101327,Bước Chân Trên Dãy Trường Sơn,Trọng Tấn
101331,Bước Ngoặc Tình Yêu (Remix),Lưu Gia Bảo
