,title,singer,id,Genre,Lyric
36,Anh Là Người Ích Kỷ,Tammy Quỳnh,,,
37,Anh Là Người Đặc Biệt,Ngọc Thương Ruby,,,
38,Anh Là Tia Nắng Trong Em (Remix),Vĩnh Thiên Kim,,,
39,Anh Là Tia Nắng Trong Em,Hiền Thục,,,
40,Anh Lôn Phía Sau Em,Dương Hùng Khánh,,,
41,Anh Lầm,Thành Đại Siêu,,,
42,Anh Mong,Tây Giang,,,
43,Anh Mong Quay Về,Khang Vệt,,,
44,Anh Muốn Chia Tay,Phạm Kỳ Anh,,,
45,Anh Muốn Cầu Hôn Em (Remix),Lý Hào Nam,,,
46,Anh Muốn Dừng Cuộc Chơi,Lâm Chấn Khang,,,
47,Anh Muốn Nói Yêu Em,Don Hồ & Thiên Kí,,,
48,Anh Mãi Yêu Em,Ngô Huy Đồng,,,
49,Anh Mơ Về Em,Lê Toàn,,,
50,Anh Mới Chính Là Người Em Yêu (Remix),Phạm Trưởng,,,
51,Anh Nghèo Lắm Em Ơi,Lâm Chấn Huy,,,
52,Anh Ngoại Tình Em Biết,Nguyễn Đình Vũ,,,
53,Anh Người Xinh Đẹp Nhất Trần Gian,Trương Thảo Nhi,,,
54,Anh Nhận Ra (Remix),Khắc Việt,,,
55,Anh Nhớ Em,Mai Tuấn Anh,,,
56,Anh Nhớ Không Anh,Hạ Vy,,,
57,Anh Quá Nhẫn Tâm Với Em,Thảo Đô La,,,
58,Anh Quên Em Đi (Remix),Nipe,,,
59,Anh Sai Hay Em Sai,Hoàng Nhật Linh,,,
60,Anh Lại Về,Thiều Kỳ Anh,,,
61,Anh Muốn Chia Tay Phải Không (Remix),Lương Bích Hữu,,,
62,Anh Nỡ Quên Sao,Gia Linh,,,
63,Anh Sẽ Để Em Ra Đi,Châu Khải Phong,,,
64,Anh Sáu Xị,Châu Kiệt Phương,,,
65,Anh Sẽ Bương Tay,Quang Vinh,,,
66,Anh Sẽ Chờ,LinhRV & VomPC,,,
67,Anh Sẽ Cố Gắng Quên Em,Danh Hiếu,,,
68,Anh Sẽ Không Buồn,Nam Cường,,,
69,Anh Sẽ Không Khóc,Thành Lu,,,
70,Anh Sẽ Làm Quen,Lý Văn Long,,,
71,Anh Sẽ Mãi Là Người Em Yêu,Bảo Ngọc,,,
72,Anh Sẽ Quên Đi Tất Cả,Đinh Khải Anh,,,
73,Anh Sẽ Ra Đi,Vũ Thái Trung,,,
74,Anh Sẽ Trở Về,Trương Thế Vinh,,,
75,Anh Sẽ Vui.. Nếu,Tuấn Hưng,,,
76,Anh Sẽ Về (Remix),Khánh Trung,,,
77,Anh Sẽ Về,Khánh Trung,,,
78,Anh Sẽ Về Sớm Thôi,Ken Chou,,,
79,Anh Sẽ Đến Bên Em,Minh Thảo & Nhất Trung,,,
80,Anh Sợ Mất Em,365 Band,,,
81,Anh Sợ Yêu,Hoài Nam Bozo & Khắc Anh,,,
82,Anh Thèm Được Ngủ,Khói,,,
83,Anh Thì Không (Remix),Vĩnh Thiên Kim,,,
84,Anh Thì Không,Lương Minh Trang,,,
85,Angel,Hương Tràm,,,
86,Angel,Mai Tiến Dũng & Tóc Tiên,,,
87,Anh,Mỹ Lệ & Trần Tâm,,,
88,Anh Ba Hủ Tiếu & Cô Sáu Bún Riêu,Khang Lê & Lý Diệu Linh,,,
89,Anh Thích Em Như Xưa (Remix),Châu Khải Phong,,,
90,Anh Thích Em Như Xưa,Lương Gia Huy,,,
91,Anh Tin Ngày Ấy Em Về,Vĩ MJ,,,
92,Anh Tiền Tuyến Em Hậu Phương,Sơn Ca,,,
93,Anh Trách Mình Đến Sau,Đạt Jenoo,,,
94,Anh Trôi Về Em,Đăng Khoa Idol,,,
95,Anh Viết Tên Em Mùa Đông,Hoàng Hải Đăng,,,
96,Anh Vẫn Biết (Et Pourtant),Elvis Phương,,,
97,Anh Vẫn Biết,Anh Tú,,,
98,Anh Vẫn Biết,Huy Vũ,,,
99,Anh Vẫn Buồn Như Xưa,Andy Thanh,,,
100,Anh Vẫn Chờ,Hồng Dương M4U,,,
101,Anh Vẫn Chờ,La Phong Lâm,,,
102,Anh Về Với Em,Ngọc Minh & Thanh Phong,,,
103,Anh Xin Lỗi Em,Dương Khang,,,
104,Anh Yêu Người Khác Rồi (Remix),Khắc Việt,,,
105,Anh Đã Biết,Danny Nguyen,,,
106,Boulevard,Duy Hạnh,,,
107,Bâng Khuâng Trường Sa,Nhiều Ca Sỹ,,,
108,Canh Chim Lạc Lối,Lưu Minh Thắng,,,
109,Anh Vẫn Không Đổi Thay,Kenny Thái,,,
110,Anh Vẫn Không Đổi Thay,Lê Toàn,,,
111,Anh Về (Remix),Nam Du,,,
112,Anh Về Miền Tây,Cẩm Ly & Quốc Đại,,,
113,Anh Về Miền Tây,Huỳnh Tấn Sang,,,
114,Anh Về Một Chiều Mưa,Duy Khánh,,,
115,Anh Về Thủ Đô,Lâm Thúy Vân & Y Phụng,,,
116,Anh Về Với Em,Huy Sinh & Kim Anh,,,
117,Anh Về Với Em,Khả Tú,,,
118,Anh Về Với Em,Kim Anh,,,
119,Anh Về Với Em,Như Mai & Tuấn Vũ,,,
120,Anh Về Với Em,Tuấn Vũ,,,
121,Anh Về Với Em,Y Phụng,,,
122,Anh Xin Em Tha Thứ,Lâm Triều Vỹ,,,
123,Anh Xin Làm Cỏ Dại,Quang Dũng,,,
124,Anh Xin Làm Cỏ Lạ,Đinh Ngọc,,,
125,Anh Xin Lỗi (Remix),Minh Vương M4U,,,
126,Anh Xin Lỗi,Lê Hoàng Bảo Phong,,,
127,Anh Xin Lỗi Em,Châu Việt Cường,,,
128,Anh Yêu Em (Remix),Lương Gia Hùng,,,
129,Anh Yêu Em,Lý Văn Long,,,
130,Anh Yêu Em 2,Trần Phi Khanh,,,
131,Anh Yêu Em Nhiều Hơn Hôm Qua,Lâm Chấn Huy,,,
132,Anh Yêu Em Vẫn Chờ,Lâm Thái Uyên,,,
133,Anh Đi Chài Tôm,Đinh Vân & Hồng Vân,,,
134,Anh Đi Nha,Lý Phúc,,,
135,Anh Đi Qua Đời Em,Tinna Tình,,,
136,Anh Đi Về Nơi Đâu,Yến Phương,,,
137,Anh Đào Vàng,Đức Toàn,,,
138,Anh Đâu Em Đó,Shayla,,,
139,Anh Đã Bị Lừa,Cao Tùng Anh & Ba Chú Bộ Đội,,,
140,Anh Đã Không Thật Lòng,Lê Uyên Nhi,,,
141,Anh Đã Không Thể Ngăn Người Ra Đi,Ông Cao Thắng,,,
142,Anh Đã Không Yêu Thật Lòng,Lê Uyên Nhi,,,
143,Anh Đã Quá Vô Tâm,Hoàng Nhật Linh,,,
144,Anh Đã Quên Acoustic,Hà Nhi,,,
145,Anh Đã Thích Em Rồi,Lương Gia Huy & Hoàng Rapper,,,
146,Anh Đã Từng Yêu,Chu Bin,,,
147,Anh Đã Yêu Không Thật Lòng,Lê Uyên Nhi,,,
148,Anh Đẹp Trai Thiệt Mà,Châu Gia Kiệt,,,
149,Anh Đến Thăm Em Đêm 30,Don Hồ,,,
150,Anh Đến Thăm Em Đêm Ba Mươi,Don Hồ,,,
151,Anh Ơi Em Khóc Nhè,Song Thư,,,
152,Anh Ơi Em Phải Làm Sao,Soái Nhi,,,
153,Anh Ở Đầu Sông Em Ở Cuối Sông,Lan Anh,,,
154,Anyway,Juun Đăng Dũng,,,
155,Ao Cá Đợi Chờ,Tuấn Quỳnh,,,
156,Apologize,Hồ Đắc Chánh,,,
157,Arigatou Người Đã Đến,Trương Thảo Nhi & Jun 365,,,
158,Ba Năm Yêu Em Âm Thầm,Vũ Sơn,,,
159,Ba Phi Miệt Vườn,Đông Phương Tường,,,
160,Ba Quan,Dân Ca Quan Họ Bắc Ninh,,,
161,Ba Tháng Tạ Từ,Hằng Ni,,,
162,Ba Thằng Bạn,Karik,,,
163,Ba Thằng Bạn,Ưng Hoàng Phúc,,,
164,Ba Trăm Sáu Mươi Lăm Ngày Yêu (Remix),Lương Gia Huy,,,
165,Ba Điều Làm Em Hạnh Phúc,Vương Anh Tú,,,
166,Bad Boy,Đông Nhi,,,
167,Bad Girl,Vmusic,,,
168,Balo Đi Thôi,Nguyễn Quang Bin,,,
169,Bambino,Hoàng Thanh,,,
170,Ban Mai Ngày Xanh,Cẩm Ly & Nguyễn Lộc,,,
171,Ban Mai Ngày Xanh,Cẩm Ly,,,
172,Baby Anh Yêu Em,Ưng Hoàng Phúc,,,
173,Baby Baby,Monstar,,,
174,Baby Dont Go,Lam Trường,,,
175,Baby I Told You,Monstar,,,
176,Baby Xin Đừng Quay Gót,Bảo Thy,,,
177,Babybaby,Monstar,,,
178,Bang Bang (Remix),Lily Huệ,,,
179,Bang Bang,Mỹ Tâm,,,
180,Bao Giờ Biết Tương Tư,Đức Huy,,,
181,Bao Giờ Có Nhau,Khang Vệt,,,
182,Bao Giờ Có Được Em,Mạnh Quỳnh,,,
183,Bao Giờ Em Quên,Duy Khánh,,,
184,Bao Giờ Em Quên,Mạnh Quỳnh,,,
185,Bao Giờ Em Quên,Phi Nhung,,,
186,Bao Giờ Em Quên,Tuấn Vũ,,,
187,Bao Giờ Em Thấy Hiểu,Nguyễn Hoàng Tuấn,,,
188,Bao Giờ Người Trở Lại,Đàm Vĩnh Hưng,,,
189,Bao Giờ Ta Gặp Lại Ta,Hạ Vy,,,
190,Bao Giờ Ta Gặp Lại Ta,Tâm Đoan,,,
191,Bao La Tình Chúa,Gia Ân,,,
192,Bao La Tình Chúa,Nguyễn Sang,,,
193,Bao La Tình Ngài,Gia Ân,,,
194,Bao Lì Xì,Đức Phương,,,
195,Bao Lần Em Khóc (Remix),Kim Ny Ngoc,,,
196,Bao Đêm Không Ngủ,Christiane Lê,,,
197,Bao Đêm Không Ngủ,Mạnh Quỳnh,,,
198,Bay (Remix 2),Thu Minh,,,
199,Bay,Bảo Trâm & Hoang Quyen,,,
200,Bay Cùng Xuân,Bee T,,,
201,Bay Giữa Ngân Hà (Remix),Nam Cường,,,
202,Bay Lên Những Ước Mơ,V.Music,,,
203,Bay Theo Tiếng Mưa,Quỳnh Nga,,,
204,Bay Đi Cô Đơn,Thanh Thảo,,,
205,Bay Đi Những Cơn Mưa Phùn,Ngọc Huệ,,,
206,Biết Bao Giờ Trở Lại,Nguyễn Khang,,,
207,Biết Chưa Biết Còn,Lê Hằng,,,
208,Biết Em Chưa Thể Quên,Quang Vinh,,,
209,Biết Em Còn Nhỏ,Wendy Thảo,,,
210,Biết Em Còn Yêu Anh Không,Hồng Trúc,,,
211,Biết Em Không Còn Nhớ,Vpop,,,
212,Biết Em Không Trở Lại,Aartista Band,,,
213,Ba Nén Hương Trầm,Ái Xuân,,,
214,Bay Lên Em Ơi (Remix),Akira Phan,,,
215,Biết Khúc Cho Anh,Kiwi Ngô Mai Trang,,,
216,Biết Khổ Mà Vẫn Yêu,Vũ Hà,,,
217,Biết Nói Gì Đây,Họa Mi,,,
218,Biết Nói Là Tại Sao (Remix),Dj Thanh K & Khắc Việt,,,
219,Biết Nói Sao Cho Vừa,Tâm Đoan,,,
220,Biết Phải Làm Sao Khi Đứng Giữa Hai Người,Lâm Vũ,,,
221,Biết Ra Sao Ngày Sau,Thanh Lan,,,
222,Biết Sẽ Xa Nhau,Ngô Huy,,,
223,Biết Số Ba,Cao Tâm,,,
224,Biết Số Sáu,Khánh Trâm,,,
225,Biết Trả Lời Sao,Lâm Quốc Hùng,,,
226,Biết Yêu Lần Đầu,Ngọc Bích,,,
227,Biết Đâu Nguồn Cội,Don Hồ & Ngọc Lan,,,
228,Biết Đâu Nguồn Cội,Phi Nhung,,,
229,Biết Đâu Tìm,Tâm Đoan,,,
230,Biết Đến Bao Giờ,Hà Thanh Xuân & Tuấn Vũ,,,
231,Biết Đến Bao Giờ,Tuấn Vũ & Hà Thanh Xuân,,,
232,Biết Đến Bao Giờ,Tuấn Vũ,,,
233,Biết Đến Bao Giờ,Tâm Đoan,,,
234,Biết Đến Thuở Nào,Từ Đức Khải,,,
235,Biết Đến Thuở Nào,Vũ Khanh,,,
236,Biết Ơn Chị Võ Thị Sáu,Mỹ Hạnh,,,
237,Biển,Tấn Minh,,,
238,Biển Chiều,Ngọc Bích,,,
239,Biển Chờ,Bằng Kiều,,,
240,Biển Cả Đã Mòn,Giang Trường,,,
241,Biển Hát Chiều Nay,Lan Anh,,,
242,Biển Hát Lời Anh Ca,Anh Thơ,,,
243,Biển Khát,Diễm Liên,,,
244,Biển Khơi Niềm Nhớ,Kim Anh,,,
245,Biển Mơ,Elvis Phương,,,
246,Biển Nhớ,Thanh Hà & Quang Dũng,,,
247,Biển Nhớ,Đình Trung,,,
248,Biển Thầm,Tô Chấn Phong,,,
249,Biển Trắng Pha Lê,Cẩm Ly,,,
250,Biển Tuyết,Phi Nhung,,,
251,Biển Tình,Anh Thơ,,,
252,Biển Tình,Dương Kim Phương,,,
253,Biển Tình,Sơn Tuyền,,,
254,Biển Xa Tình Yêu,Hoàng Hải Đăng & Thủy Đặng,,,
255,Biển Đau,Như Mai,,,
256,Biển Đau,Phi Nhung,,,
257,Biển Đau,Trúc Quyên,,,
258,Biển Đêm,Thục Nhi,,,
259,Biển Đêm,Tiến Thành,,,
260,Biển Đảo Việt Nam (Remix),Tâm Minhon,,,
261,Biển Đổi Đời Con,Thùy Dương,,,
262,Biển Động Dậy Sóng (Remix),Quách Tuấn Du,,,
263,Biển Động Dậy Sóng,Quách Tuấn Du,,,
264,Biển Ơi,Quang Linh,,,
265,Biệt Khúc Cho Nhau,Đan Trường & Triệu Vy,,,
266,Biệt Khúc Cho Nhau,Đan Trường & Triệu Vy,,,
267,Biệt Khúc Mùa Đông,Lý Long,,,
268,Biệt Ly Trắng,Mạnh Quân & Mr T,,,
269,Blouse Trắng,Quốc Định,,,
270,Buông Tay Hãy Lặng Im,Ưng Hoàng Phúc,,,
271,Buông Tay Là Cách Anh Chọn,Lee Thiên Bảo,,,
272,Buông Tay Lặng Im,Châu Ngọc Hiếu & Havan Trần,,,
273,Buông Tay Để Anh Đi,Lâm Vũ,,,
274,Buông Đôi Tay Nhau Ra,Sơn Tùng MTP,,,
275,Buồn & Men Say Nồng,Kỳ Phương Uyên & Trịnh Lam,,,
276,Biết Khi Nào Gặp Lại,Nha Nguyễn,,,
277,Biết Phải Làm Sao,Tuấn Ngọc,,,
278,Biết Đến Bao Giờ & Đêm Dài Chiến Tuyến,Phương Hồng Quế,,,
279,Biển Đau,Tâm Đoan,,,
280,Biệt Khúc Cho Tình Nhân,Thanh Lan,,,
281,Buồn,Anh Thư,,,
282,Buồn,Kenny Thái,,,
283,Buồn,Khang Vệt,,,
284,Buồn,Kim Anh,,,
285,Buồn,Lê Trí,,,
286,Buồn,Mạnh Quỳnh,,,
287,Buồn,Thiên Kim,,,
288,Buồn Chi Em,Trường Vũ,,,
289,Buồn Con Sao Sậu,Duy Trường,,,
290,Buồn Con Sao Sậu,Quốc Đại,,,
291,Buồn Của Anh (Remix),La Hoàng Phúc,,,
292,Buồn Của Anh (Remix),Vương Bảo Nam,,,
293,Buồn Của Em,Trương Linh Đan,,,
294,Buồn Của Em,Wendy Thảo,,,
295,Buồn Giăng Lối Đêm,Tú Quyên,,,
296,Buồn Không Em,Thanh Tuyền,,,
297,Buồn Mà Chi Em,Mỹ Huyền,,,
298,Buồn Mà Chi Em,Phương Mai,,,
299,Buồn Mà Chi Em,Trường Vũ,,,
300,Buồn Mãi Quanh Ta,Thái Hiền,,,
301,Buồn Mình Em,Cẩm Ly & Đan Trường,,,
302,Buồn Như Lá Rừng,Phương Thanh,,,
303,Buồn Trong Kỷ Niệm,Hà My,,,
304,Buồn Trong Kỷ Niệm,Hồ Hoàng Yến,,,
305,Buồn Trong Kỷ Niệm,Trường Vũ,,,
306,Buồn Trong Đêm Mưa,Ngọc Thúy,,,
307,Buồn Tàn Thu,Lê Thủy,,,
308,Buồn Tả Tơi,Ngô Quốc Linh & Quách Sỹ Phú,,,
309,Buồn Vào Đêm,Hương Lan,,,
310,Buồn Vào Đêm,Tuấn Vũ,,,
311,Buôn Bấc Buôn Dầu,Đức Hiền,,,
312,Buông,Bùi Anh Tuấn,,,
313,Buồn Vương Màu Áo,Lưu Hồng,,,
314,Buồn Ơi Chào Mi,Đinh Ngọc,,,
315,Buồn Ơi Ngủ Yên,Tuấn Khanh,,,
316,Buồn Ơi Ta Xin Chào Mi,Thái Châu,,,
317,Buồn Ơi Xin Cho Quên,Nguyễn Hưng & Ái Vân,,,
318,Bà Rằng Bà Rí,Phi Nhung,,,
319,Bà Rằng Bà Rí,Thanh Lan,,,
320,Bà Xã Ơi Bà Xã,Hải Nguyên,,,
321,Bà Ơi,Đào Phi Dương,,,
322,Bài 20,Johnny Dũng & Lâm Nhật Tiến,,,
323,Bài Ca Cho Anh,Sơn Tuyền,,,
324,Bài Ca Cho Em,Thái Hiền,,,
325,Bài Ca Cho Em,Thái Hiền,,,
326,Bài Ca Chúng Mình,Tuấn Vũ,,,
327,Bài Ca Của Chúng Mình,Thúy Hằng,,,
328,Bài Ca Của Đêm,Lâm Nhật Tiến,,,
329,Bài Ca Dao Xót Xa,Vũ Tuấn,,,
330,Bài Ca Dao Đầu Đời,Mạnh Quỳnh,,,
331,Bài Ca Dao Đầu Đời,Tâm Đoan,,,
332,Bài Ca Hai Chúng Mình,Khánh Hoàng,,,
333,Bài Ca Hy Vọng,Thu Hương,,,
334,Bài Ca Hạnh Ngộ,Lệ Uyên Phương & U Mi,,,
335,Bài Ca Hạnh Phúc,Thế Phong,,,
336,Bài Ca Hồ Chí Minh,Hồ Quỳnh Hương,,,
337,Bài Ca Hồ Chí Minh,Quang Hào,,,
338,Bài Ca Kỷ Niệm,Phi Nhung,,,
339,Bài Ca Kỷ Niệm,Tuấn Vũ,,,
340,Bài Ca Lửa Cháy,Tốp Ca,,,
341,Bài Ca May Áo,Trung Hậu,,,
342,Bài Ca Miyahee,Đan Trường,,,
343,Bài Ca Người Giáo Viên Nhân Dân,Lan Anh,,,
344,Buông,Kimmese & Vũ Thảo My,,,
345,Buồn (Remix),Vũ Duy Khánh,,,
346,Buồn Của Anh (Remix),Khang Lê,,,
347,Bài 20,Khải Tuấn,,,
348,Bài Ca Thông Nhất,Bích Hồng & Thu Hiền,,,
349,Bài Ca Thông Nhất,Phạm Phương Thảo,,,
350,Bài Ca Thông Nhất,Trọng Tấn,,,
351,Bài Ca Tuổi Trẻ,Elvis Phương,,,
352,Bài Ca Tân Hôn,Lê Toàn,,,
353,Bài Ca Tình Nhớ,Thu Thảo,,,
354,Bài Ca Tết Cho Em (Remix),Lương Gia Huy,,,
355,Bài Ca Tết Cho Em (Remix),Quang Hà,,,
356,Bài Ca Xuân,Khánh Hoàng,,,
357,Bài Ca Đường 9 Chiến Thắng,Tốp Ca,,,
358,Bài Cuối Cho Cuộc Tình,Đàm Vĩnh Hưng,,,
359,Bài Cuối Cho Người Tình,Mạnh Quỳnh,,,
360,Bài Hát Cho Người Kỹ Nữ,Khang Vệt,,,
361,Bài Hát Không Trọn Vẹn,Châu Ngọc Tiên & Lâm Chấn Khang,,,
362,Bài Hát Tặng Em,Rainbow Boys,,,
363,Bài Hát Tặng Mẹ (Mama Angel),C Walk & Lil Shady,,,
364,Bài Hát Đôi Cho Em,Huy Mc & Thu Phương,,,
365,Bài Hát Đôi Cho Em,Quang Minh & Thu Phương,,,
366,Bài Học,Phạm Trưởng,,,
367,Bài Học Tình Yêu,Phúc Pin,,,
368,Bài Không Tên Số 1,Duy Quang,,,
369,Bài Không Tên Số 2,Hạ Vy & Nini,,,
370,Bài Không Tên Số 2,Ngọc Bích,,,
371,Bài Không Tên Số 37,Khánh Hà,,,
372,Bài Không Tên Số 4,Ngọc Lan,,,
373,Bài Không Tên Số 5,Elvis Phương,,,
374,Bài Không Tên Số 5,Ngọc Bích,,,
375,Bài Không Tên Số 6,Duy Quang,,,
376,Bài Không Tên Số 7,Khánh Hà,,,
377,Bài Không Tên Số 8,Nguyễn Khang,,,
378,Bài Không Tên Số 9,Châu Đình An,,,
379,Bài Không Tên Số 9,Khánh Nguyên,,,
380,Bài Không Tên Số Bảy,Lệ Quyên,,,
381,Bài Không Tên Số Bốn,Lệ Quyên,,,
382,Bài Không Tên Số Chín,Lệ Quyên,,,
383,Bài Không Tên Số Năm,Lệ Quyên,,,
384,Bài Không Tên Số Sáu,Lệ Quyên,,,
385,Bài Luân Vũ Mùa Mưa,Elvis Phương & Thanh Lan,,,
386,Bài Ngợi Ca Quê Hương,Mạnh Hùng,,,
387,Bài Ngợi Ca Quê Hương,Phi Nhung,,,
388,Bài Nhã Ca Thứ Nhất,Phương Nghi,,,
389,Bài Nhạc Cuối Cho Chúng Mình,Khánh Ngọc & Nhật Tinh Anh,,,
390,Bài Tango Dĩ Vãng,Christiane Lê,,,
391,Bài Tango Xa Rồi,Hồ Vĩnh Khoa & Thu Thủy & Tim,,,
392,Bài Thánh Ca Buồn,Khang Lê,,,
393,Bài Thánh Ca Buồn,Đàm Vĩnh Hưng & Mỹ Tâm,,,
394,Bài Thơ Cuối Cùng,Họa Mi,,,
395,Bài Thơ Vu Quy,Ngọc Hồ,,,
396,Bài Thơ Đan Áo,Diệp Thanh Thanh,,,
397,Bài Tình Ca Cho Em,Duy Quang,,,
398,Bài Tình Ca Cho Em,Lâm Thúy Vân,,,
399,Bài Tình Ca Cho Giai Nhân,Quang Dũng,,,
400,Bài Tình Ca Cho Giai Nhân,Vũ Khanh,,,
401,Bài Tình Ca Của Em,Don Hồ,,,
402,Bài Tình Ca Không Quên,Minh Tuyết,,,
403,Bài Tình Ca Không Quên,Ngọc Bích,,,
404,Bài Tình Ca Mùa Đông,Lệ Thu & Dạ Nhất Yến,,,
405,Bài Tình Cho Giai Nhân,Vũ Khanh,,,
406,Bài Tình Mơ,Nhiều Ca Sỹ,,,
407,Bàn Tay,Lê Hằng,,,
408,Bác,Quách Thành Danh,,,
409,"Bác Hồ, Một Tình Yêu Bao La",Phạm Thùy Linh,,,
410,Bác Đang Cùng Chúng Cháu Hành Quân,Quân Khu 7,,,
411,Bánh Xe Lãng Tử,Christiane Lê,,,
412,Bâng Khuâng Chiều Đông,Thái Châu,,,
413,Bâng Khuâng Trường Sa,Go On,,,
414,Bây Giờ Còn Nhớ Hay Không,Diễm Liên & Nguyên Khang,,,
415,Bây Giờ Còn Yêu,Thanh Hà,,,
416,Bây Giờ Em Nỗi Đau,Johnny Dũng,,,
417,Bây Giờ Tháng Mấy,Thanh Thúy & Tô Chấn Phong,,,
418,Bây Giờ Tháng Mấy,Tuấn Anh,,,
419,Bây Giờ Tháng Mấy,Đức Huy,,,
420,Bãi Cát Thơ Mộng,Lê Toàn,,,
421,Bão Lòng,Khánh Ngọc,,,
422,Bài Ca Người Thợ Bảy Bằng,Huy Đạt,,,
423,Bài Hát Cho Em,Giao Linh,,,
424,Bài Hát Valentine Cho Em,Mai Thanh Sơn,,,
425,Bài Không Tên Số 1,Hoàng Nam,,,
426,Bài Không Tên Số 7,Hoàng Nam,,,
427,Bài Không Tên Số Tám,Lệ Quyên,,,
428,Bác Hồ Sống Mãi Với Tây Nguyên,Trung Đức,,,
429,Bão Tình,Hồ Hoàng Yến,,,
430,Bèo,Đào Phi Dương,,,
431,Bèo Dạt Mây Trôi (Remix),Thu Phương,,,
432,Bé Chơi Bập Bênh,Bé Bảo An,,,
433,Bé Yêu,Khánh Dung & Sơn Ca,,,
434,Bé Yêu,Mạnh Quỳnh,,,
435,Bé Yêu,Đoàn Phi & Hà Thanh Xuân,,,
436,Bê Rồi Ông Cố Ơi,Huỳnh James Pjnboys,,,
437,Bên Anh,Hoàng Rapper & Khởi My,,,
438,Bên Bóng Dừa,Lê Toàn & Thu Hương,,,
439,Bên Bờ Quạnh Hiu,Ngọc Bích,,,
440,Bên Cầu Biên Giới,Kathy Dung,,,
441,Bên Cầu Ngó Mong,Anh Vũ,,,
442,Bên Cầu Ngó Mong,Tuấn Dũng,,,
443,Bên Cầu Nhớ Người,Ngọc Hồ,,,
444,Bên Em Chiều Mưa,Đan Huy,,,
445,Bên Em Là Anh,Nguyên Hà,,,
446,Bên Em Là Biển Rộng,Ánh Minh & Don Hồ,,,
447,Bong Bóng Mưa,Trịnh Nam Sơn,,,
448,Bên Kia Sông,Đức Duy,,,
449,Bên Người Này Nhớ Người Kia,Bom Band,,,
450,Bên Nhau Lần Nữa,Nhật Minh Hằng,,,
451,Bên Nhau Ngày Vui,Thái Tài & Linda Trang Đài,,,
452,Bên Nhau Thật Khó New Version,Châu Khải Phong & Khang Việt,,,
453,Bên Nhau Đêm Nay,Linda Trang Đài,,,
454,Bên Ni Bên Nớ,Họa Mi,,,
455,Bên Đời Hiu Quạnh,Họa Mi,,,
456,Bên Đời Hiu Quạnh,Tú Quyên,,,
457,Bên Đời Mất Em,Kim Quang Hải,,,
458,Bình Minh Sẽ Mang Em Đi (Remix),Đàm Vĩnh Hưng,,,
459,Bình Minh Sẽ Đến (Remix),Như Ý,,,
460,Bình Minh Trắng,Nguyễn Trung,,,
461,Bình Minh Tình Yêu (Remix),Huy Vũ & Minh Tuyết,,,
462,Bình Yên,Hồng Nhung & Quang Dũng,,,
463,Bình Yên Những Phút Giây,Sơn Tùng MTP,,,
464,Bình Yên Nơi Anh,Team V & Nhật Nguyên,,,
465,Bình Yên Sẽ Đến (Remix),Như Ý,,,
466,Bình Yên Sẽ Đến,Jimmy Nguyễn & Khánh Loan,,,
467,Bí Mật,Mỹ Tâm,,,
468,Bóng Chiều Xưa,Kim Huyền & Ngọc Huệ,,,
